No,id,en,th,Type,Function / Location
1,search,Search,ค้นหา,Button,Search
2,my_account,My Account,บัญชีของฉัน,Button,My Account
3,login,Log in,ลงชื่อเข้าใช้,Button,Log in
4,logout,Log out,ออกจากระบบ,Button,Log out
5,demand_offer,Demands & Offers,ความต้องการและข้อเสนอ,Title,Top title
6,suggestion,Suggestions,ตัวเลือกในหมวดนี้,Title,Suggestion
7,search_result,Search results,ผลการค้นหาของ,Title,Search result
8,demand_title,Demand(s),ความต้องการ,Title,eg. ความต้องการ 152
9,offer_title,Offer(s),ข้อเสนอ,Title,eg. ข้อเสนอ 312
10,create_demand_button,Create Demand,ลงประกาศตามหา,Button,Create demand
11,creating_demand,Creating Demand,ประกาศตามหา,Title,Create demand
12,looking_for_field,What are you looking for?,สิ่งที่ตามหา,Field title,Demand title
13,confirm_create_demand,Create Demand,เริ่มตามหา,Button,Confirm creating demand
14,create_offer_button,Create Offer,ลงประกาศข้อเสนอ,Button,Create offer
15,creating_offer,Creating Offer,ประกาศข้อเสนอ,Title,Create offer
16,offering_field,What are you offering?,ข้อเสนอของคุณ,Field title,Offer title
17,confirm_create_offer,Create Offer,สร้างข้อเสนอ,Button,Confirm creating offer
18,looking_for_header,Looking for,กำลังตามหา,Headers,header ของแต่ละ demand
19,suggest_creating_demand_title,Still can't find product you are looking for?,ยังไม่เจอสิ่งที่คุณต้องการ?,Title,Suggest creating demand
20,suggest_creating_demand_body,So we can help you look further for more offers\COMMA\ and let other merchants provide offer(s) to you,เพื่อให้เราทำการค้นหาต่อโดยอัตโนมัติ และสามารถให้ร้านค้าอื่นๆ เสนอสินค้าให้คุณได้โดยตรง,Body,Suggest creating demand
21,suggest_creating_offer_title,Want to make an offer?,ต้องการเสนอขายสินค้าประเภทนี้?,Title,Suggest creating offer
22,suggest_creating_offer_body,So we can help spreading the offers to more people that may be interested,เพื่อให้เราส่งต่อข้อเสนอขายไปยังลูกค้าที่สนใจ,Body,Suggest creating offer
23,search_title,Search products or demands,ค้นหาสินค้า หรือ ความต้องการซื้อ,Title,Homepage
24,search_placeholder,Search products,ค้นหาสินค้าที่ต้องการ,Field title,Searchbar header
25,confirm_login,Log in,เข้าสู่ระบบ,Button,Confirm Login
26,forget_password,Forget Password?,ลืมรหัสผ่าน?,,Login/Register
27,create_new_account,Create new account,สร้างบัญชีใหม่,,Login/Register
28,confirm_term,*I have read\COMMA\ understand and accept the terms and conditions of Mark8,*ฉันได้อ่านและเข้าใจนโยบายข้อมูลส่วนบุคคลของ Mark8 แล้ว,,Login/Register
29,email,Email,อีเมล์,,Login/Register
30,password,Password,รหัสผ่าน,,Login/Register
31,confirm_password,Confirm Password,ยืนยันรหัสผ่าน,,Login/Register
32,or,Or,หรือ,,Login/Register
33,login_by_facebook,Register or Log in by Facebook,ลงทะเบียน หรือ เข้าระบบด้วย Facebook,,Login/Register
34,filter,Filter,ตัวกรอง,,Search Result
35,see_more,See more,ดูเพิ่มเติม,,Search Result
36,order_by,Order By: ,เรียงลำดับโดย: ,,Search Result
